nodeid,in_population,database.all_fitnesses.island_zero,database.best_program.island_zero,database.end_generation.always_false,database.end_generation.bare_increment,database.feature_dimensions.empty,database.fitness.no_feature_exclusion,database.get.best_fallback,database.init.no_novelty_guard,database.island_fitnesses.global,database.last_iteration.off_by_one,database.load.reset_generations,database.num_islands.off_by_one,database.num_programs.off_by_one,database.per_island_bests.neg_inf_default,database.sample_from_island.drop_inspirations,database.save.iteration_zero,database.store_artifacts.noop,islands.add.ignore_target_scope,islands.capabilities.overclaim,islands.elites.worst_first,islands.load_state_dict.ignore_state,islands.native_select.source_is_target,islands.per_scope_bests.global_best,islands.population.ignore_scope,islands.regions.generic_label,islands.scopes.drop_last,islands.snapshot.limit_before_sort,islands.snapshot.regions_always,islands.state_dict.empty,islands.steps_per_generation.one,islands.target_scope.off_by_one,islands.top_programs.island_wins,islands.top_programs.reversed,islands.topology.flat,prompts.build_mutation_prompt.drop_parent2,prompts.build_mutation_prompt.unfiltered_metrics,prompts.build_mutation_prompt.unfiltered_program_lists,prompts.inject_advice.no_header,prompts.make_prompt_sampler.allow_stochasticity,prompts.make_prompt_sampler.skip_template_registration
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandBestTrackingThroughWrapper::test_combined_score_not_raw_score_drives_the_island_best,yes,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,K,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandBestTrackingThroughWrapper::test_island_bests_persist_across_later_weaker_additions,yes,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,K,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandBestTrackingThroughWrapper::test_program_added_to_an_empty_island_becomes_its_best,yes,.,.,.,.,.,.,.,.,K,.,.,.,.,K,.,.,.,K,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandBestTrackingThroughWrapper::test_worse_program_does_not_lower_the_island_best,yes,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,K,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandConcurrencyThroughWrapper::test_concurrent_selection_never_crosses_island_boundaries,yes,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandConcurrencyThroughWrapper::test_selection_target_is_an_argument_not_shared_mutable_state,yes,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandGenerationBookkeeping::test_end_generation_advances_every_island_not_just_island_zero,yes,.,.,.,K,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandGenerationBookkeeping::test_end_generation_reports_false_until_the_interval_is_reached,yes,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandGenerationBookkeeping::test_generation_vector_matches_upstream_controller_pattern,yes,.,.,.,K,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandGenerationBookkeeping::test_migration_cadence_matches_upstream_controller_pattern,yes,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandGenerationBookkeeping::test_resuming_a_pre_repair_checkpoint_keeps_migration_cadence,yes,.,.,K,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMapElitesThroughWrapper::test_better_program_replaces_the_weaker_one_in_the_same_cell,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMapElitesThroughWrapper::test_checkpoint_round_trip_preserves_per_island_placement,yes,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMapElitesThroughWrapper::test_identical_features_on_different_islands_do_not_collide,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMapElitesThroughWrapper::test_no_migrant_suffix_ids_are_ever_generated,yes,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMigrationThroughWrapper::test_islands_start_empty_and_evenly_configured,yes,.,.,.,.,.,.,.,.,.,.,.,K,.,K,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMigrationThroughWrapper::test_migrants_are_recorded_on_an_island_and_total_never_shrinks,yes,.,.,K,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMigrationThroughWrapper::test_migrants_copy_their_source_and_land_on_their_recorded_island,yes,.,.,K,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMigrationThroughWrapper::test_migration_never_produces_migrant_suffixed_ids,yes,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMigrationThroughWrapper::test_migration_preserves_program_content,yes,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMigrationThroughWrapper::test_migration_with_empty_islands_does_not_raise,yes,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMigrationThroughWrapper::test_no_program_id_occupies_two_islands,yes,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMigrationThroughWrapper::test_repeated_migration_leaves_ids_clean,yes,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMigrationThroughWrapper::test_repeated_migration_rounds_do_not_grow_exponentially,yes,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandMigrationThroughWrapper::test_single_island_configuration_never_grows_by_migration,yes,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandPlacementThroughWrapper::test_child_inherits_parent_island_when_no_target_specified,yes,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandPlacementThroughWrapper::test_with_target_island_child_goes_to_target,yes,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandSelectionThroughWrapper::test_different_islands_draw_from_disjoint_parent_sets,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandSelectionThroughWrapper::test_empty_island_selection_still_returns_a_parent,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandSelectionThroughWrapper::test_exploitation_mode_still_returns_a_live_program,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandSelectionThroughWrapper::test_exploration_mode_spreads_across_the_island,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandSelectionThroughWrapper::test_inspirations_come_from_the_parents_island,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandSelectionThroughWrapper::test_scope_beyond_island_count_wraps_around,yes,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandSelectionThroughWrapper::test_selection_parent_and_inspirations_share_the_requested_island,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandSelectionThroughWrapper::test_single_program_island_returns_it_with_no_inspirations,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestIslandTopProgramsThroughWrapper::test_empty_island_yields_no_top_programs,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestMutationMatrixCoverageHoles::test_all_fitnesses_spans_every_island,yes,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestMutationMatrixCoverageHoles::test_artifacts_reach_the_upstream_store_and_read_back,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestMutationMatrixCoverageHoles::test_capabilities_are_exactly_what_the_store_serves,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestMutationMatrixCoverageHoles::test_elites_are_the_fittest_of_the_scope_in_descending_order,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestMutationMatrixCoverageHoles::test_get_returns_none_for_an_unknown_id_and_never_substitutes,yes,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestMutationMatrixCoverageHoles::test_sample_from_island_honours_the_requested_inspiration_count,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestMutationMatrixCoverageHoles::test_scope_takes_precedence_over_the_legacy_island_alias,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestMutationMatrixCoverageHoles::test_snapshot_limit_selects_the_top_n_not_an_arbitrary_n,yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_islands_wrapper_fidelity_spec.py::TestMutationMatrixCoverageHoles::test_steps_per_generation_survives_a_checkpoint_round_trip,yes,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,K,K,.,.,.,.,.,.,.,.,.,.
tests/test_noema_iteration_runner.py::TestChooseOperator::test_choose_operator_honors_request,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_iteration_runner.py::TestChooseOperator::test_choose_operator_legacy_path,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_iteration_runner.py::TestGenerationTick::test_generation_tick_fires_on_generation_end,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_iteration_runner.py::TestGenerationTick::test_generation_tick_not_called_off_boundary,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_llm_roles.py::TestControllerWiresSeatsToTheirModels::test_seats_get_their_configured_models,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_llm_roles.py::TestControllerWiresSeatsToTheirModels::test_single_model_config_puts_one_model_on_both_seats,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_llm_roles.py::TestFlatConfigStillLoads::test_flat_llm_block_feeds_both_seats,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_llm_roles.py::TestFlatConfigStillLoads::test_seats_are_independent_objects,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_llm_roles.py::TestPerRoleConfig::test_each_seat_keeps_its_own_settings,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_llm_roles.py::TestPerRoleConfig::test_half_specified_block_fails_loud,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_llm_roles.py::TestPerRoleConfig::test_typo_in_a_flat_block_is_still_rejected,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_llm_roles.py::TestPerRoleConfig::test_typo_inside_a_seat_is_rejected,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_model_escalation.py::TestModelEscalation::test_escalated_generation_carries_the_strong_model,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_model_escalation.py::TestModelEscalation::test_escalation_account_stays_mutation,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_model_escalation.py::TestModelEscalation::test_escalation_model_bootstrapped_from_coordination_seat,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_model_escalation.py::TestModelEscalation::test_escalation_sequence_is_deterministic_under_seed,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_model_escalation.py::TestModelEscalation::test_null_arm_never_escalates,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_model_escalation.py::TestModelEscalation::test_unset_advice_model_is_byte_identical_to_pre_change,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_package_layout.py::test_flat_modules_are_absent_from_the_installed_package,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_package_layout.py::test_semantic_modules_are_importable,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestNoemaCallSites::test_a_marker_in_a_child_string_literal_guts_the_block_and_is_accepted,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestNoemaCallSites::test_an_unterminated_parent_block_silently_disables_the_boundary,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestNoemaCallSites::test_call_site_composition_per_file,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestNoemaCallSites::test_materialize_hands_tag_polluted_code_to_the_population,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestNoemaCallSites::test_materialize_turns_a_prose_only_reply_into_child_code,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestNoemaCallSites::test_the_agenthost_fence_round_trip_truncates_code_holding_a_fence,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseEvolveBlocks::test_a_second_start_silently_discards_everything_accumulated,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseEvolveBlocks::test_an_end_before_any_start_is_ignored,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseEvolveBlocks::test_an_immediately_closed_block_yields_empty_content_not_absence,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseEvolveBlocks::test_an_unterminated_block_is_dropped_entirely,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseEvolveBlocks::test_blocks_are_zero_indexed_marker_lines_excluded_from_content,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseEvolveBlocks::test_both_markers_on_one_line_open_a_block_that_never_closes,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseEvolveBlocks::test_markers_match_as_substrings_anywhere_in_the_line,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseFullRewrite::test_a_foreign_tag_falls_back_and_keeps_the_tag_as_the_first_line,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseFullRewrite::test_a_response_with_no_fence_is_returned_whole_and_never_none,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseFullRewrite::test_an_unclosed_fence_returns_the_response_with_its_markers_intact,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseFullRewrite::test_language_is_interpolated_into_the_regex_unescaped,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseFullRewrite::test_only_the_first_matching_block_is_returned,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseFullRewrite::test_the_empty_string_is_the_only_falsy_return,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseFullRewrite::test_the_language_fence_wins_over_an_earlier_foreign_fence,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_parser_characterization.py::TestParseFullRewrite::test_the_tag_match_is_byte_exact_and_newline_terminated,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_pes.py::TestPESPlannerModule::test_advisory_is_default_and_byte_identical,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_pes.py::TestPESPlannerModule::test_budget_exhaustion_propagates,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_pes.py::TestPESPlannerModule::test_build_retry_prompt_formats_previous_attempts,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_pes.py::TestPESPlannerModule::test_build_retry_prompt_returns_none_for_advisory,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_pes.py::TestPESPlannerModule::test_child_above_parent_is_improved,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_pes.py::TestPESPlannerModule::test_child_below_parent_is_regressed,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_pes.py::TestPESPlannerModule::test_child_equal_parent_is_stale,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_pes.py::TestPESPlannerModule::test_directive_attempts_do_not_bleed_into_the_next_mutation,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_pes.py::TestPESPlannerModule::test_directive_mode_includes_parent_solution_json,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_pes.py::TestPESPlannerModule::test_directive_mode_no_plan_is_noop,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
